spike_length,num_grains,awn_length,awn_density,mean_hue,grain_size_mean,texture_contrast,grain_density,label
2840,2,1995.6744275093079,55495,66.00709203037745,190.3413759373981,48.44966624535196,0.0007042253521126761,0
2814,2,953.1900247335434,35452,63.049793872219304,209.21268507402962,40.55957992656234,0.0007107320540156361,0
2801,2,3082.1748720407486,115247,68.98478879879265,163.63018633540372,81.11749264638748,0.0007140307033202428,0
2992,2,1703.3717068433762,64457,78.15267421924264,240.84306569343065,71.91876798121628,0.0006684491978609625,0
2793,2,2805.492760181427,88664,64.44214366413557,226.3448275862069,68.05308789066348,0.0007160759040458289,0
2943,2,3045.8043760061264,140847,67.27481603095043,133.89991321955452,116.88856412547065,0.0006795786612300374,0
2929,2,2971.3905255794525,66789,61.79024776222922,187.52574525745257,65.51920857136719,0.0006828269033799932,0
2992,2,3649.3750056028366,107668,64.1247818219382,184.43828138756822,80.68105988248543,0.0006684491978609625,0
2642,2,3610.4330011606216,85135,63.94415456653449,189.22478336221837,56.35495704201271,0.000757002271006813,0
2797,2,1680.8468815088272,49806,64.35811384277031,203.74341219465282,44.808536411795146,0.0007150518412584912,0
2992,2,2713.6753095388412,72319,66.98905860877969,181.2498405612245,65.33699260968655,0.0006684491978609625,0
2917,2,2600.896867752075,58046,65.14094260745678,238.19715224534502,59.436504934931946,0.0006856359273225917,0
2992,2,1598.8397415876389,31872,64.21621677195616,179.0499022997144,38.547270905653555,0.0006684491978609625,0
2992,2,1932.544487118721,58868,64.24880826281446,170.38529288410456,49.86618898023342,0.0006684491978609625,0
2992,2,1927.814480304718,71952,73.0501329039177,184.0996024059537,66.14496205929797,0.0006684491978609625,0
2558,2,1292.243849515915,39593,74.57169257059408,246.10613486564137,45.83793821801783,0.0007818608287724785,0
2992,2,3075.3081098794937,76811,63.931893060143885,215.85469628043884,81.99947555718273,0.0006684491978609625,0
2591,2,1011.5706287622452,13623,66.39789448271158,281.69467312348667,29.54900994774146,0.0007719027402547279,0
2992,2,2358.367862343788,37599,70.42056947524554,337.9496722846442,55.6081627784571,0.0006684491978609625,0
2947,2,918.0041726827621,34379,84.74000184764863,287.509498157074,62.08805257273499,0.0006786562606040041,0
2992,2,2133.5920491218567,56589,76.28004737338796,269.5090735434575,79.84257640953938,0.0006684491978609625,0
2818,2,1164.0184545516968,35522,65.4488196478228,202.90563755141542,49.79021962819275,0.0007097232079489,0
2862,2,3843.27659201622,85478,65.42498819094118,256.6831973216154,73.5571155935972,0.0006988120195667365,0
2992,2,1827.4734243154526,66996,62.64888249835581,149.8195276114438,62.321664489973486,0.0006684491978609625,0
2391,2,2956.0600864887238,49684,67.98819057774432,268.96078431372547,46.19721802498886,0.000836470096194061,0
2871,2,1429.5188953876495,62548,59.48245344070456,142.63920697316698,52.17899758131941,0.0006966213862765587,0
285,2,2675.059206724167,13452,62.56781323255035,27.538546255506606,1580.356924008477,0.007017543859649123,0
2840,2,1969.8459984064102,55719,65.95793359131021,177.72130898021308,48.863646657798775,0.0007042253521126761,0
2840,2,1979.7454923391342,55972,65.96349474168336,171.76375404530745,52.73178660559395,0.0007042253521126761,0
2840,2,1978.6744253635406,55775,65.96355669536963,177.45060790273556,48.86314996446276,0.0007042253521126761,0
2840,2,1977.159705877304,55928,65.96349474168336,171.76375404530745,52.73178660559395,0.0007042253521126761,0
2840,2,1982.7454925775528,56018,65.96052524835419,171.91725559481742,52.73244151573037,0.0007042253521126761,0
2814,2,949.5331773757935,36621,63.110167646288346,194.1936502042332,40.94498307281643,0.0007107320540156361,0
2814,2,1036.9209176301956,36079,63.091397609543975,189.25859572927976,47.70351603830503,0.0007107320540156361,0
2992,2,2502.33545422554,69364,62.68840065098387,115.03197139938713,61.30131695905072,0.0006684491978609625,0
2814,2,951.5331772565842,36436,63.09731517284932,193.90211345939935,40.945919170236806,0.0007107320540156361,0
2814,2,949.6336771249771,36087,63.091397609543975,189.25859572927976,47.70351603830503,0.0007107320540156361,0
2814,2,1036.9209176301956,36055,63.091283672725815,189.1249547920434,47.70416154942362,0.0007107320540156361,0
2801,2,3129.3170071840286,116226,68.84704100078092,152.0270051933064,81.67171513277681,0.0007140307033202428,0
2801,2,3128.3170070648193,116231,68.83755050759571,150.2115165336374,99.58433559685555,0.0007140307033202428,0
2801,2,3096.317007422447,116123,68.85258678545178,151.98996192454138,81.66916978922926,0.0007140307033202428,0
2801,2,3127.7312207221985,116232,68.83755050759571,150.2115165336374,99.58433358278029,0.0007140307033202428,0
2801,2,3126.6601527929306,116211,68.84612125755883,150.36468439675835,99.58411527940147,0.0007140307033202428,0
